timestamp_epoch_ms	direction	message
1789134198852	TX	<CMD,seq=3,move=F,turn=C,step_speed=60,servo=0>
1789134198852	RX	Acknowledgement(sequence=3, duplicate=false)
1789134198853	RX	Status(sequence=3, linkAlive=true, stepTargetRpm=60, stepEstimatedRpm=60, stepActualRpm=null, servoDegrees=0, rollDegrees=1.2, pitchDegrees=-2.4, yawDegrees=85.7, faultBits=0)
1789134199101	TX	<CMD,seq=3,move=F,turn=C,step_speed=60,servo=0>
1789134199102	RX	Acknowledgement(sequence=3, duplicate=false)
1789134199102	RX	Status(sequence=3, linkAlive=true, stepTargetRpm=60, stepEstimatedRpm=60, stepActualRpm=null, servoDegrees=0, rollDegrees=1.2, pitchDegrees=-2.4, yawDegrees=85.7, faultBits=0)
1789134199302	TX	<CMD,seq=3,move=F,turn=C,step_speed=60,servo=0>
1789134199302	RX	Acknowledgement(sequence=3, duplicate=false)
1789134199303	RX	Status(sequence=3, linkAlive=true, stepTargetRpm=60, stepEstimatedRpm=60, stepActualRpm=null, servoDegrees=0, rollDegrees=1.2, pitchDegrees=-2.4, yawDegrees=85.7, faultBits=0)
1789134199504	RX	Acknowledgement(sequence=3, duplicate=false)
1789134199504	TX	<CMD,seq=3,move=F,turn=C,step_speed=60,servo=0>
1789134199505	RX	Status(sequence=3, linkAlive=true, stepTargetRpm=60, stepEstimatedRpm=60, stepActualRpm=null, servoDegrees=0, rollDegrees=1.2, pitchDegrees=-2.4, yawDegrees=85.7, faultBits=0)
1789134199704	TX	<CMD,seq=3,move=F,turn=C,step_speed=60,servo=0>
1789134199704	RX	Acknowledgement(sequence=3, duplicate=false)
1789134199705	RX	Status(sequence=3, linkAlive=true, stepTargetRpm=60, stepEstimatedRpm=60, stepActualRpm=null, servoDegrees=0, rollDegrees=1.2, pitchDegrees=-2.4, yawDegrees=85.7, faultBits=0)
1789134199895	TX	<CMD,seq=4,move=F,turn=C,step_speed=60,servo=0>
1789134199896	RX	Acknowledgement(sequence=4, duplicate=false)
1789134199896	RX	Status(sequence=4, linkAlive=true, stepTargetRpm=60, stepEstimatedRpm=60, stepActualRpm=null, servoDegrees=0, rollDegrees=1.2, pitchDegrees=-2.4, yawDegrees=85.7, faultBits=0)
1789134199912	TX	<CMD,seq=3,move=F,turn=C,step_speed=60,servo=0>
1789134199913	RX	Acknowledgement(sequence=3, duplicate=false)
1789134199914	RX	Status(sequence=3, linkAlive=true, stepTargetRpm=60, stepEstimatedRpm=60, stepActualRpm=null, servoDegrees=0, rollDegrees=1.2, pitchDegrees=-2.4, yawDegrees=85.7, faultBits=0)
1789134200105	TX	<CMD,seq=4,move=F,turn=C,step_speed=60,servo=0>
1789134200105	RX	Acknowledgement(sequence=4, duplicate=false)
1789134200105	RX	Status(sequence=4, linkAlive=true, stepTargetRpm=60, stepEstimatedRpm=60, stepActualRpm=null, servoDegrees=0, rollDegrees=1.2, pitchDegrees=-2.4, yawDegrees=85.7, faultBits=0)
1789134200306	TX	<CMD,seq=4,move=F,turn=C,step_speed=60,servo=0>
1789134200306	RX	Acknowledgement(sequence=4, duplicate=false)
1789134200307	RX	Status(sequence=4, linkAlive=true, stepTargetRpm=60, stepEstimatedRpm=60, stepActualRpm=null, servoDegrees=0, rollDegrees=1.2, pitchDegrees=-2.4, yawDegrees=85.7, faultBits=0)
1789134200506	TX	<CMD,seq=4,move=F,turn=C,step_speed=60,servo=0>
1789134200507	RX	Acknowledgement(sequence=4, duplicate=false)
1789134200507	RX	Status(sequence=4, linkAlive=true, stepTargetRpm=60, stepEstimatedRpm=60, stepActualRpm=null, servoDegrees=0, rollDegrees=1.2, pitchDegrees=-2.4, yawDegrees=85.7, faultBits=0)
1789134200614	TX	<CMD,seq=5,move=S,turn=C,step_speed=60,servo=0>
1789134200614	RX	Acknowledgement(sequence=5, duplicate=false)
1789134200615	RX	Status(sequence=5, linkAlive=true, stepTargetRpm=0, stepEstimatedRpm=0, stepActualRpm=null, servoDegrees=0, rollDegrees=1.2, pitchDegrees=-2.4, yawDegrees=85.7, faultBits=0)
1789134200706	TX	<CMD,seq=5,move=S,turn=C,step_speed=60,servo=0>
1789134200706	RX	Acknowledgement(sequence=5, duplicate=false)
1789134200707	RX	Status(sequence=5, linkAlive=true, stepTargetRpm=0, stepEstimatedRpm=0, stepActualRpm=null, servoDegrees=0, rollDegrees=1.2, pitchDegrees=-2.4, yawDegrees=85.7, faultBits=0)
1789134201208	TX	<CMD,seq=5,move=S,turn=C,step_speed=60,servo=0>
1789134201208	RX	Acknowledgement(sequence=5, duplicate=false)
1789134201209	RX	Status(sequence=5, linkAlive=true, stepTargetRpm=0, stepEstimatedRpm=0, stepActualRpm=null, servoDegrees=0, rollDegrees=1.2, pitchDegrees=-2.4, yawDegrees=85.7, faultBits=0)
1789134201708	TX	<CMD,seq=5,move=S,turn=C,step_speed=60,servo=0>
1789134201709	RX	Acknowledgement(sequence=5, duplicate=false)
1789134201709	RX	Status(sequence=5, linkAlive=true, stepTargetRpm=0, stepEstimatedRpm=0, stepActualRpm=null, servoDegrees=0, rollDegrees=1.2, pitchDegrees=-2.4, yawDegrees=85.7, faultBits=0)
1789134202209	TX	<CMD,seq=5,move=S,turn=C,step_speed=60,servo=0>
1789134202209	RX	Acknowledgement(sequence=5, duplicate=false)
1789134202210	RX	Status(sequence=5, linkAlive=true, stepTargetRpm=0, stepEstimatedRpm=0, stepActualRpm=null, servoDegrees=0, rollDegrees=1.2, pitchDegrees=-2.4, yawDegrees=85.7, faultBits=0)
1789134202392	TX	<CMD,seq=6,move=S,turn=L,step_speed=60,servo=-30>
1789134202392	RX	Acknowledgement(sequence=6, duplicate=false)
1789134202393	RX	Status(sequence=6, linkAlive=true, stepTargetRpm=0, stepEstimatedRpm=0, stepActualRpm=null, servoDegrees=-30, rollDegrees=1.2, pitchDegrees=-2.4, yawDegrees=85.7, faultBits=0)
1789134202710	TX	<CMD,seq=6,move=S,turn=L,step_speed=60,servo=-30>
1789134202710	RX	Acknowledgement(sequence=6, duplicate=false)
1789134202711	RX	Status(sequence=6, linkAlive=true, stepTargetRpm=0, stepEstimatedRpm=0, stepActualRpm=null, servoDegrees=-30, rollDegrees=1.2, pitchDegrees=-2.4, yawDegrees=85.7, faultBits=0)
1789134202925	TX	<CMD,seq=7,move=S,turn=R,step_speed=60,servo=30>
1789134202925	RX	Acknowledgement(sequence=7, duplicate=false)
1789134202925	RX	Status(sequence=7, linkAlive=true, stepTargetRpm=0, stepEstimatedRpm=0, stepActualRpm=null, servoDegrees=30, rollDegrees=1.2, pitchDegrees=-2.4, yawDegrees=85.7, faultBits=0)
1789134203210	TX	<CMD,seq=7,move=S,turn=R,step_speed=60,servo=30>
